year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
,Confirmed,Juan Javier Ortega Reyes,,Ecuador,,,Male,https://cpj-photos.s3.amazonaws.com/Ec_Ortega1-2018-05-01-1525211691191.jpg,Ortega Family,Journalist,Killed,Murder,Killed,Staff,El Comercio,Print Reporter,"Corruption,Crime,Politics,Human Rights",Print,Colombia,,,,,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
,Confirmed,Kamel abu al-Walid,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Jarabulus Media Office,Photographer,War,Internet,Syria,Afrin,,,Afrin,,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Leobardo Vázquez Atzin,,Mexico,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Enlace Informativo Regional,Internet Reporter,"Corruption,Crime,Politics",Internet,Mexico,Gutiérrez Zamora,,Veracruz,Gutiérrez Zamora,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Leslie Ann Pamela Montenegro del Real,,Mexico,,,Female,,,Journalist,Killed,Murder,Killed,Staff,El Sillón,"Internet Reporter,Columnist/Commentator","Politics,Culture",Internet,Mexico,Acapulco,,Guerrero,Acapulco,,Local,"Criminal Group,Government Officials",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Maharram Durrani,,Afghanistan,,,Female,,,Journalist,Killed,Murder,Killed,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty","Internet Reporter,Producer","Politics,War","Radio,Internet",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Mohammad al-Qadasi,,Yemen,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Belqees TV,Photographer,War,"Internet,Television",Yemen,al-Khayami,,Taiz,al-Khayami,,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Mustafa Salamah,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Sama TV,Broadcast Reporter,War,Television,Syria,Mashara,,,Mashara,Quneitra,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Navin Nischal,,India,,,Male,,,Journalist,Killed,Murder,Killed,Freelance,Dainik Bhaskar,Print Reporter,Politics,Print,India,Arrah,,Bihar,Arrah,Bhojpur,Local,"Government Officials,Criminal Group",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Nowroz Ali Rajabi,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,1TV,Camera Operator,"Crime,Politics,War","Internet,Television",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Obeida abu Omar,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Damaski Media Agency,Internet Reporter,War,Internet,Syria,Ein Tirma,,eastern Ghouta,Ein Tirma,,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,
